"","Week","No_Dep","Mild_Dep","Moderate_Dep","Severe_Dep","All_Dep","Mean_DScore","Treatment","Talk","Prob_of_Talking","Prob_of_Treatment","Mean_DScore_Male","Mean_DScore_Female","NoDep_Male","Mild_Male","Moderate_Male","Severe_Male","AllDep_Male","NoDep_Female","Mild_Female","Moderate_Female","Severe_Female","AllDep_Female","Count_Male","Count_Female","Male_Treatment","Male_Talks","Female_Treatment","Female_Talks","Environment"
"211",0,941.18,29.36,15.12,14.34,58.82,7.19502,95.54,80.8,7.50841376248,9.01910110924,6.36502268214,8.01781783948,478.86,10.42,5,3.64,19.06,462.32,18.94,10.12,10.7,39.76,497.92,502.08,31.1,35.92,64.44,44.88,30
"212",1,942.28,28.76,14.78,14.18,57.72,7.20915149018,96.64,81.72,7.5227504278,9.04550425462,6.39735595806,8.01419973242,479.02,10.34,5,3.56,18.9,463.26,18.42,9.78,10.62,38.82,497.92,502.08,31.72,34.78,64.92,46.94,30
"213",2,943.16,28.38,14.42,14.04,56.84,7.2248382186,95.1,81.64,7.53470768458,9.07119841938,6.43736495308,8.0059209826,479.04,10.3,5,3.58,18.88,464.12,18.08,9.42,10.46,37.96,497.92,502.08,29.76,34.9,65.34,46.74,30
"214",3,943.8,28.1,14.18,13.92,56.2,7.24472206046,94.98,82.28,7.5477971794,9.09889491636,6.4727994565,8.01077611616,478.98,10.34,4.98,3.62,18.94,464.82,17.76,9.2,10.3,37.26,497.92,502.08,30.08,36.12,64.9,46.16,30
"215",4,944.32,27.9,13.98,13.8,55.68,7.266440824,95,79.4,7.56475428972,9.12935550174,6.51081757158,8.01659469346,479.06,10.28,4.92,3.66,18.86,465.26,17.62,9.06,10.14,36.82,497.92,502.08,29.24,34.72,65.76,44.68,30
"216",5,945.04,27.78,13.66,13.52,54.96,7.2840442503,96.38,82.48,7.57959540186,9.1565921827,6.5468203106,8.0155806308,479.14,10.3,4.8,3.68,18.78,465.9,17.48,8.86,9.84,36.18,497.92,502.08,30.26,35.84,66.12,46.64,30
"217",6,945.58,27.8,13.28,13.34,54.42,7.30178182804,97.34,82.94,7.59393928554,9.18974341656,6.5854252289,8.01254599908,479.16,10.38,4.64,3.74,18.76,466.42,17.42,8.64,9.6,35.66,497.92,502.08,29.7,35.34,67.64,47.6,30
"218",7,946.2,27.44,13.16,13.2,53.8,7.32002326534,96.4,79.7,7.6103932314,9.21944830144,6.6168653545,8.01795495242,479.36,10.26,4.5,3.8,18.56,466.84,17.18,8.66,9.4,35.24,497.92,502.08,29.76,33.22,66.64,46.48,30
"219",8,946.92,27.02,13.04,13.02,53.08,7.3331942125,96.32,81.7,7.62529669264,9.2504100453,6.64975655992,8.01152635096,479.42,10.14,4.54,3.82,18.5,467.5,16.88,8.5,9.2,34.58,497.92,502.08,28.96,33.12,67.36,48.58,30
"220",9,947.56,26.84,12.78,12.82,52.44,7.3510746466,96.36,80.9,7.64053192114,9.27971030256,6.68847638874,8.00852701092,479.38,10.16,4.52,3.86,18.54,468.18,16.68,8.26,8.96,33.9,497.92,502.08,27.98,34,68.38,46.9,30
"221",10,948,26.72,12.72,12.56,52,7.36994345408,98.44,79.62,7.65493536406,9.31195563742,6.7242122796,8.01068215112,479.36,10.12,4.62,3.82,18.56,468.64,16.6,8.1,8.74,33.44,497.92,502.08,29.78,32.12,68.66,47.5,30
"222",11,948.9,26.2,12.56,12.34,51.1,7.37661508306,100.02,82.62,7.67059784018,9.34562513566,6.75409890522,7.9942729897,479.54,9.98,4.52,3.88,18.38,469.36,16.22,8.04,8.46,32.72,497.92,502.08,29.6,33.96,70.42,48.66,30
"223",12,949.48,25.94,12.4,12.18,50.52,7.39127900378,100.58,80.66,7.68743225034,9.38285204836,6.78532300976,7.99242907858,479.56,9.96,4.5,3.9,18.36,469.92,15.98,7.9,8.28,32.16,497.92,502.08,28.96,32.22,71.62,48.44,30
"224",13,949.92,25.68,12.3,12.1,50.08,7.4075501038,97.86,83.84,7.70363463858,9.41544673422,6.8209458023,7.98981460428,479.56,9.98,4.4,3.98,18.36,470.36,15.7,7.9,8.12,31.72,497.92,502.08,27.74,33.22,70.12,50.62,30
"225",14,950.54,25.5,11.98,11.98,49.46,7.42111591072,99.82,80.52,7.72278401892,9.44961777748,6.8513383321,7.98658352842,479.52,10.02,4.38,4,18.4,471.02,15.48,7.6,7.98,31.06,497.92,502.08,29.22,31.76,70.6,48.76,30
"226",15,950.86,25.42,11.88,11.84,49.14,7.43921384988,100.82,81.88,7.74324506764,9.48636830484,6.88389705608,7.99043432436,479.46,10.08,4.38,4,18.46,471.4,15.34,7.5,7.84,30.68,497.92,502.08,29.3,31.52,71.52,50.36,30
"227",16,951.14,25.28,11.74,11.84,48.86,7.46263558498,99.9,81.4,7.7611688489,9.5276666706,6.92141680982,8.00001689158,479.5,10.06,4.36,4,18.42,471.64,15.22,7.38,7.84,30.44,497.92,502.08,27.8,31.2,72.1,50.2,30
"228",17,951.32,25.34,11.54,11.8,48.68,7.4793532177,97.7,82.14,7.78010855832,9.56583607766,6.95414846998,8.00082077412,479.36,10.22,4.32,4.02,18.56,471.96,15.12,7.22,7.78,30.12,497.92,502.08,26.92,31.62,70.78,50.52,30
"229",18,951.44,25.36,11.58,11.62,48.56,7.49999405054,99.88,82.76,7.80244857102,9.60109335006,6.98759227182,8.00869855648,479.24,10.32,4.34,4.02,18.68,472.2,15.04,7.24,7.6,29.88,497.92,502.08,27.3,30.86,72.58,51.9,30
"230",19,951.7,25.42,11.34,11.54,48.3,7.51786264734,102.32,79.92,7.82312748288,9.63459521364,7.02745038292,8.00471549268,479.18,10.42,4.28,4.04,18.74,472.52,15,7.06,7.5,29.56,497.92,502.08,26.74,30.12,75.58,49.8,30
"231",20,952.12,25.24,11.16,11.48,47.88,7.53647403162,101.7,82.02,7.84428326182,9.67868749086,7.06751072098,8.00196366842,479.02,10.42,4.32,4.16,18.9,473.1,14.82,6.84,7.32,28.98,497.92,502.08,27.02,30,74.68,52.02,30
"232",21,952.84,24.9,10.9,11.36,47.16,7.54741954448,103.28,85.86,7.8679718288,9.71973988134,7.099596999,7.99195890256,479.1,10.28,4.36,4.18,18.82,473.74,14.62,6.54,7.18,28.34,497.92,502.08,28.26,31.46,75.02,54.4,30
"233",22,953.02,24.84,10.92,11.22,46.98,7.56497247618,101.76,82.28,7.89247494644,9.76248025126,7.13573385694,7.99103479158,478.94,10.32,4.44,4.22,18.98,474.08,14.52,6.48,7,28,497.92,502.08,27.26,30.2,74.5,52.08,30
"234",23,953.3,24.88,10.72,11.1,46.7,7.57591077846,103.24,85.02,7.91869379432,9.8042594659,7.16668024324,7.98154262174,478.88,10.32,4.5,4.22,19.04,474.42,14.56,6.22,6.88,27.66,497.92,502.08,26.44,30.9,76.8,54.12,30
"235",24,953.72,24.84,10.54,10.9,46.28,7.58671931062,102.18,82.34,7.94619176074,9.84902330958,7.19362797992,7.97634517464,478.7,10.46,4.54,4.22,19.22,475.02,14.38,6,6.68,27.06,497.92,502.08,26.08,28.96,76.1,53.38,30
"236",25,954.02,24.64,10.44,10.9,45.98,7.60503708958,102.7,84.46,7.97359616004,9.89326951682,7.23087489668,7.97600514152,478.54,10.52,4.62,4.24,19.38,475.48,14.12,5.82,6.66,26.6,497.92,502.08,25.18,29.12,77.52,55.34,30
"237",26,954.14,24.7,10.44,10.72,45.86,7.61790375582,103.44,84.72,8.0004393361,9.94035984216,7.26125240574,7.97116140668,478.4,10.72,4.54,4.26,19.52,475.74,13.98,5.9,6.46,26.34,497.92,502.08,26.98,29.64,76.46,55.08,30
"238",27,954.54,24.56,10.3,10.6,45.46,7.63828408598,107.6,86.08,8.0266004838,9.98633493436,7.30009080456,7.97321300826,478.42,10.76,4.48,4.26,19.5,476.12,13.8,5.82,6.34,25.96,497.92,502.08,26.56,31.06,81.04,55.02,30
"239",28,954.58,24.6,10.38,10.44,45.42,7.6575239785,104.1,86.18,8.05808581542,10.0324140921,7.33382488598,7.97842028816,478.3,10.84,4.52,4.26,19.62,476.28,13.76,5.86,6.18,25.8,497.92,502.08,25.86,29.24,78.24,56.94,30
"240",29,954.8,24.54,10.22,10.44,45.2,7.66986080584,106.16,89.32,8.08544851676,10.0814642785,7.36194203422,7.97486070778,478.18,10.9,4.54,4.3,19.74,476.62,13.64,5.68,6.14,25.46,497.92,502.08,26.72,30.82,79.44,58.5,30
"241",30,955.16,24.48,10.18,10.18,44.84,7.68323159296,107.76,85.96,8.1162898514,10.13227877496,7.39699677388,7.96656027952,477.96,11.14,4.56,4.26,19.96,477.2,13.34,5.62,5.92,24.88,497.92,502.08,24.92,29.48,82.84,56.48,30
"242",31,955.24,24.5,10.22,10.04,44.76,7.7025786871,108.06,83.98,8.14266975092,10.17917191968,7.44005297986,7.96278497478,477.58,11.48,4.64,4.22,20.34,477.66,13.02,5.58,5.82,24.42,497.92,502.08,26.5,28.9,81.56,55.08,30
"243",32,955.42,24.68,10.06,9.84,44.58,7.71450894386,106.9,87.26,8.1729130836,10.2311342402,7.47030698824,7.95647092226,477.56,11.58,4.54,4.24,20.36,477.86,13.1,5.52,5.6,24.22,497.92,502.08,25.82,29.44,81.08,57.82,30
"244",33,955.42,24.74,10.12,9.72,44.58,7.73831932066,107.62,84.98,8.20402776792,10.28681608442,7.5112046046,7.9637563998,477.34,11.72,4.62,4.24,20.58,478.08,13.02,5.5,5.48,24,497.92,502.08,24.06,27.62,83.56,57.36,30
"245",34,955.86,24.56,10,9.58,44.14,7.75734201574,106.16,84.38,8.2358285141,10.3374519576,7.54875035856,7.96395946824,477.42,11.72,4.52,4.26,20.5,478.44,12.84,5.48,5.32,23.64,497.92,502.08,24.68,28.22,81.48,56.16,30
"246",35,955.8,24.74,9.88,9.58,44.2,7.77025638402,107.94,85.32,8.26883430186,10.3931728064,7.57954948834,7.95943425286,477.3,11.86,4.38,4.38,20.62,478.5,12.88,5.5,5.2,23.58,497.92,502.08,26.22,28.56,81.72,56.76,30
"247",36,956.22,24.54,9.82,9.42,43.78,7.78160369782,107.96,89.88,8.30457103268,10.45043513264,7.6131513373,7.94898653854,477.3,11.94,4.36,4.32,20.62,478.92,12.6,5.46,5.1,23.16,497.92,502.08,23.88,29.48,84.08,60.4,30
"248",37,956.22,24.74,9.82,9.22,43.78,7.79232059564,111.6,89.44,8.33954006396,10.50934438466,7.6481221292,7.9356273316,477.06,12.14,4.42,4.3,20.86,479.16,12.6,5.4,4.92,22.92,497.92,502.08,24.74,28.78,86.86,60.66,30
"249",38,956.34,24.82,9.7,9.14,43.66,7.8090981703,110.42,87.22,8.37617165036,10.56423530252,7.68158974788,7.93600100652,476.94,12.26,4.42,4.3,20.98,479.4,12.56,5.28,4.84,22.68,497.92,502.08,24.24,27.12,86.18,60.1,30
"250",39,956.46,24.86,9.58,9.1,43.54,7.81931039854,111.4,87.06,8.41021891366,10.6186756551,7.7123979366,7.92610790028,476.74,12.46,4.48,4.24,21.18,479.72,12.4,5.1,4.86,22.36,497.92,502.08,24.42,27.18,86.98,59.88,30
"251",40,956.56,24.98,9.52,8.94,43.44,7.8343831074,110.76,87.68,8.4429453737,10.67363020012,7.74962684064,7.9186983725,476.58,12.56,4.52,4.26,21.34,479.98,12.42,5,4.68,22.1,497.92,502.08,24.38,26.56,86.38,61.12,30
"252",41,956.54,25.08,9.48,8.9,43.46,7.85232901464,116.38,90.58,8.48214499828,10.73549561,7.7896466108,7.9148701901,476.6,12.52,4.54,4.26,21.32,479.94,12.56,4.94,4.64,22.14,497.92,502.08,25.18,28.9,91.2,61.68,30
"253",42,956.46,25.28,9.48,8.78,43.54,7.86935418888,111.16,90.86,8.52002107748,10.79685041792,7.82147989148,7.91702530232,476.4,12.62,4.66,4.24,21.52,480.06,12.66,4.82,4.54,22.02,497.92,502.08,24.18,26.56,86.98,64.3,30
"254",43,956.84,25,9.36,8.8,43.16,7.88222617916,112.98,89.06,8.56193554116,10.86134582868,7.85693067922,7.9074508562,476.44,12.62,4.62,4.24,21.48,480.4,12.38,4.74,4.56,21.68,497.92,502.08,22.62,27.08,90.36,61.98,30
"255",44,956.72,25.26,9.34,8.68,43.28,7.90235708772,114.94,91.64,8.60173838186,10.9210584588,7.89648204532,7.90839429338,476.16,12.88,4.62,4.26,21.76,480.56,12.38,4.72,4.42,21.52,497.92,502.08,24.04,27.56,90.9,64.08,30
"256",45,957,24.96,9.42,8.62,43,7.91289833614,113.8,91.66,8.6403428439,10.9856813634,7.92568003804,7.90035098668,476.16,12.88,4.58,4.3,21.76,480.84,12.08,4.84,4.32,21.24,497.92,502.08,22.88,26.46,90.92,65.2,30
"257",46,956.8,25.14,9.58,8.48,43.2,7.92800677714,115.76,90.66,8.67836198652,11.0515442028,7.9618799627,7.89453418036,475.9,13.06,4.7,4.26,22.02,480.9,12.08,4.88,4.22,21.18,497.92,502.08,22.74,26.82,93.02,63.84,30
"258",47,957.02,25.02,9.42,8.54,42.98,7.94665081372,116.38,92.84,8.71996760294,11.1194274302,8.00498117584,7.88888474878,475.74,13.2,4.64,4.34,22.18,481.28,11.82,4.78,4.2,20.8,497.92,502.08,22.9,25.9,93.48,66.94,30
"259",48,956.74,25.3,9.48,8.48,43.26,7.96219078156,116.28,94,8.763274221,11.1913860974,8.04753622132,7.87751058692,475.36,13.42,4.76,4.38,22.56,481.38,11.88,4.72,4.1,20.7,497.92,502.08,23.64,26.8,92.64,67.2,30
"260",49,956.38,25.84,9.42,8.36,43.62,7.97906509644,116.48,92.66,8.8104739258,11.2635836874,8.08414143506,7.87443209914,475.06,13.68,4.8,4.38,22.86,481.32,12.16,4.62,3.98,20.76,497.92,502.08,22.22,26.48,94.26,66.18,30
"261",50,956.3,25.9,9.5,8.3,43.7,7.99813642214,118.88,92.32,8.859102564,11.337392849,8.12428353918,7.87273041358,474.94,13.64,4.9,4.44,22.98,481.36,12.26,4.6,3.86,20.72,497.92,502.08,23.3,26.14,95.58,66.18,30
"262",51,956.38,25.94,9.56,8.12,43.62,8.0081630757,118.64,93.98,8.91055863046,11.4119177556,8.15053923506,7.8666295151,474.7,13.84,4.94,4.44,23.22,481.68,12.1,4.62,3.68,20.4,497.92,502.08,22.78,27.04,95.86,66.94,30
"263",52,955.96,26.48,9.52,8.04,44.04,8.02438349802,121.6,94.7,8.96143768434,11.4894987016,8.19107779246,7.85865737322,474.38,14.1,4.94,4.5,23.54,481.58,12.38,4.58,3.54,20.5,497.92,502.08,22.58,25.78,99.02,68.92,30
"264",53,956,26.64,9.46,7.9,44,8.038091557,121.86,94.9,9.01342435488,11.5691175782,8.22582515302,7.85125111622,474.18,14.36,4.9,4.48,23.74,481.82,12.28,4.56,3.42,20.26,497.92,502.08,22.8,24.78,99.06,70.12,30
"265",54,955.9,26.6,9.62,7.88,44.1,8.05674058518,122.18,95.54,9.07034666084,11.6514892656,8.26742788246,7.84682283478,473.84,14.58,5.02,4.48,24.08,482.06,12.02,4.6,3.4,20.02,497.92,502.08,22.44,25.26,99.74,70.28,30
"266",55,955.78,26.74,9.68,7.8,44.22,8.07761644354,121.22,94.6,9.12476361412,11.738453713,8.31512916658,7.84095260038,473.58,14.7,5.12,4.52,24.34,482.2,12.04,4.56,3.28,19.88,497.92,502.08,21.38,25.32,99.84,69.28,30
"267",56,955.58,26.94,9.66,7.82,44.42,8.09782126076,123.28,96.04,9.18150253776,11.8200258492,8.35213260034,7.84426108302,473.34,14.86,5.14,4.58,24.58,482.24,12.08,4.52,3.24,19.84,497.92,502.08,23.02,25.08,100.26,70.96,30
"268",57,955.48,27.14,9.74,7.64,44.52,8.10642228238,122.96,98.6,9.2389476296,11.9057021886,8.38579289758,7.8284903077,473.02,15.08,5.3,4.52,24.9,482.46,12.06,4.44,3.12,19.62,497.92,502.08,22.7,25.8,100.26,72.8,30
"269",58,955.78,27.1,9.48,7.64,44.22,8.11639491596,124.9,100.26,9.30515022714,12.0025803842,8.41884131624,7.81584650888,472.8,15.26,5.38,4.48,25.12,482.98,11.84,4.1,3.16,19.1,497.92,502.08,21.6,25,103.3,75.26,30
"270",59,955.82,27.12,9.52,7.54,44.18,8.1277475303,125.8,97.18,9.37253289256,12.1056529992,8.45535407182,7.80227018368,472.6,15.4,5.44,4.48,25.32,483.22,11.72,4.08,3.06,18.86,497.92,502.08,21.9,25.74,103.9,71.44,30
"271",60,955.62,27.34,9.5,7.54,44.38,8.14326192276,124.16,97.66,9.4351633615,12.2002719936,8.49002699652,7.79859081046,472.42,15.7,5.34,4.46,25.5,483.2,11.64,4.16,3.08,18.88,497.92,502.08,21.08,24.42,103.08,73.24,30
"272",61,955.56,27.42,9.46,7.56,44.44,8.15922464448,125.6,101.38,9.50258554116,12.2967878194,8.52935282368,7.7914829408,472.24,15.84,5.3,4.54,25.68,483.32,11.58,4.16,3.02,18.76,497.92,502.08,20.86,24.5,104.74,76.88,30
"273",62,955.62,27.42,9.42,7.54,44.38,8.1663507512,127.62,99.16,9.57483571714,12.3973153518,8.56213875624,7.77308690624,472.06,15.92,5.3,4.64,25.86,483.56,11.5,4.12,2.9,18.52,497.92,502.08,21.24,23.14,106.38,76.02,30
"274",63,955.62,27.34,9.44,7.6,44.38,8.1790067723,129.26,100.5,9.6461954267,12.502355725,8.59954415456,7.76118164494,471.86,16.02,5.34,4.7,26.06,483.76,11.32,4.1,2.9,18.32,497.92,502.08,21.78,23.82,107.48,76.68,30
"275",64,955.7,27.22,9.5,7.58,44.3,8.18820671868,129.12,102.24,9.71321607148,12.6044000326,8.63633641062,7.7432084628,471.62,16.12,5.42,4.76,26.3,484.08,11.1,4.08,2.82,18,497.92,502.08,21.06,25.44,108.06,76.8,30
"276",65,955.5,27.36,9.54,7.6,44.5,8.20934306924,130.98,101.86,9.79811725694,12.725034015,8.67711931808,7.74512007894,471.34,16.32,5.44,4.82,26.58,484.16,11.04,4.1,2.78,17.92,497.92,502.08,21.38,23.12,109.6,78.74,30
"277",66,955.36,27.56,9.42,7.66,44.64,8.22071910552,134.8,103.4,9.8817423481,12.844982926,8.71376318534,7.73120046052,471.14,16.44,5.46,4.88,26.78,484.22,11.12,3.96,2.78,17.86,497.92,502.08,20.72,23.48,114.08,79.92,30
"278",67,955.1,27.84,9.38,7.68,44.9,8.23265445804,133.64,104.56,9.97141214708,12.9733332128,8.7535399529,7.7154753271,470.86,16.58,5.58,4.9,27.06,484.24,11.26,3.8,2.78,17.84,497.92,502.08,20.9,23.48,112.74,81.08,30
"279",68,954.84,28.16,9.34,7.66,45.16,8.240568992,133.08,104.9,10.05746170228,13.0934988046,8.78491983498,7.6999325068,470.62,16.82,5.58,4.9,27.3,484.22,11.34,3.76,2.76,17.86,497.92,502.08,20.78,24.16,112.3,80.74,30
"280",69,954.62,28.38,9.52,7.48,45.38,8.25590384446,132.32,102.78,10.15278019792,13.234340838,8.82192919184,7.69363967144,470.22,17.02,5.84,4.84,27.7,484.4,11.36,3.68,2.64,17.68,497.92,502.08,19.2,23.22,113.12,79.56,30
"281",70,954.52,28.44,9.5,7.54,45.48,8.27456391358,136.72,108.18,10.23926515004,13.3593971824,8.86642968646,7.68668940442,469.94,17.18,5.84,4.96,27.98,484.58,11.26,3.66,2.58,17.5,497.92,502.08,20.86,23.64,115.86,84.54,30
"282",71,954.34,28.66,9.52,7.48,45.66,8.28769246278,134.58,105.72,10.33122500312,13.4877851642,8.90481160862,7.67482273218,469.7,17.36,5.9,4.96,28.22,484.64,11.3,3.62,2.52,17.44,497.92,502.08,19.72,22.46,114.86,83.26,30
"283",72,954.04,28.76,9.6,7.6,45.96,8.29876602834,137.2,107.24,10.42421719338,13.6241624978,8.94267786712,7.65956748194,469.34,17.58,5.94,5.06,28.58,484.7,11.18,3.66,2.54,17.38,497.92,502.08,20.18,23.04,117.02,84.2,30
"284",73,954.08,28.56,9.76,7.6,45.92,8.31543081234,138.66,109.28,10.52594129608,13.7593748484,8.98285022958,7.65293787112,469.3,17.44,6.1,5.08,28.62,484.78,11.12,3.66,2.52,17.3,497.92,502.08,19.74,22.8,118.92,86.48,30
"285",74,953.82,28.7,9.82,7.66,46.18,8.32681122376,137.3,110.38,10.63301821368,13.9194118512,9.02092111632,7.63767314298,468.78,17.88,6.16,5.1,29.14,485.04,10.82,3.66,2.56,17.04,497.92,502.08,19.3,21.98,118,88.4,30
"286",75,953.5,28.92,9.86,7.72,46.5,8.34084914198,140.06,110,10.74957939998,14.0773343758,9.0607925334,7.62651823558,468.48,18.08,6.12,5.24,29.44,485.02,10.84,3.74,2.48,17.06,497.92,502.08,19.72,22.8,120.34,87.2,30
"287",76,953.12,29.14,10,7.74,46.88,8.3565280936,140.64,110.88,10.8671129719,14.2411750536,9.103779755,7.61493954478,468.1,18.32,6.24,5.26,29.82,485.02,10.82,3.76,2.48,17.06,497.92,502.08,18.58,22.04,122.06,88.84,30
"288",77,952.7,29.24,10.28,7.78,47.3,8.36947728288,144.22,111.94,11.00197013814,14.4266184316,9.1453706237,7.59963492042,467.8,18.32,6.46,5.34,30.12,484.9,10.92,3.82,2.44,17.18,497.92,502.08,19.5,21.46,124.72,90.48,30
"289",78,952.3,29.56,10.3,7.84,47.7,8.38637915416,145.48,113.18,11.13915359942,14.612524801,9.1850133568,7.5940464457,467.46,18.5,6.54,5.42,30.46,484.84,11.06,3.76,2.42,17.24,497.92,502.08,18.92,20.98,126.56,92.2,30
"290",79,952.06,29.5,10.66,7.78,47.94,8.40311120146,146.08,117.24,11.27438606422,14.7998274664,9.22523295644,7.58740242068,467.14,18.54,6.84,5.4,30.78,484.92,10.96,3.82,2.38,17.16,497.92,502.08,18.96,23.16,127.12,94.08,30
"291",80,951.9,29.56,10.64,7.9,48.1,8.41780190934,148.4,118.94,11.4210662474,15.0001725352,9.26261215898,7.5795219591,466.9,18.68,6.88,5.46,31.02,485,10.88,3.76,2.44,17.08,497.92,502.08,19.36,22.44,129.04,96.5,30
"292",81,951.46,29.9,10.72,7.92,48.54,8.43197055542,149.9,114.1,11.5967153994,15.25132021,9.30074048528,7.5701765971,466.42,19.04,7.04,5.42,31.5,485.04,10.86,3.68,2.5,17.04,497.92,502.08,18.64,21.08,131.26,93.02,30
"293",82,951.42,29.76,10.9,7.92,48.58,8.44572558254,149.98,119.46,11.756325549,15.4731637726,9.34298196626,7.55551462202,466.1,19.2,7.14,5.48,31.82,485.32,10.56,3.76,2.44,16.76,497.92,502.08,18.36,22.72,131.62,96.74,30
"294",83,951.18,29.8,10.96,8.06,48.82,8.45958052478,149.52,117.68,11.9218863142,15.7181351032,9.3819154414,7.54441442822,465.82,19.24,7.24,5.62,32.1,485.36,10.56,3.72,2.44,16.72,497.92,502.08,18.3,20.74,131.22,96.94,30
"295",84,950.92,29.88,10.98,8.22,49.08,8.4719904883,151.64,122.02,12.111392771,15.9904333122,9.42311399122,7.52827377862,465.54,19.32,7.32,5.74,32.38,485.38,10.56,3.66,2.48,16.7,497.92,502.08,17.6,21.44,134.04,100.58,30
"296",85,950.6,30.2,11,8.2,49.4,8.47794682692,152.4,122.44,12.3128969446,16.2766919502,9.45439790588,7.50884953496,465.2,19.6,7.36,5.76,32.72,485.4,10.6,3.64,2.44,16.68,497.92,502.08,18.12,22.1,134.28,100.34,30
"297",86,950.46,30.24,11.08,8.22,49.54,8.48775027954,157.1,121.12,12.5084247258,16.5539420278,9.49179573206,7.49128412686,464.78,19.84,7.5,5.8,33.14,485.68,10.4,3.58,2.42,16.4,497.92,502.08,17.34,20.86,139.76,100.26,30
"298",87,950.1,30.56,11.08,8.26,49.9,8.50203865658,155.64,123.7,12.7290700872,16.8737428532,9.53074590968,7.4811598161,464.52,20.02,7.58,5.8,33.4,485.58,10.54,3.5,2.46,16.5,497.92,502.08,18.54,19.92,137.1,103.78,30
"299",88,950.12,30.52,11.16,8.2,49.88,8.51288813364,160.58,124.68,12.9642809216,17.2114357952,9.56902829826,7.46520008788,464.42,20.02,7.68,5.8,33.5,485.7,10.5,3.48,2.4,16.38,497.92,502.08,18.66,20.82,141.92,103.86,30
"300",89,949.78,30.58,11.34,8.3,50.22,8.52199870542,159.66,125.52,13.2021674048,17.5252600032,9.60783883294,7.44506799838,464.02,20.22,7.78,5.9,33.9,485.76,10.36,3.56,2.4,16.32,497.92,502.08,18.64,20.88,141.02,104.64,30
"301",90,949.16,31.12,11.36,8.36,50.84,8.53165980056,161.9,129.46,13.42550151,17.8123592344,9.644501541,7.42815275998,463.5,20.6,7.84,5.98,34.42,485.66,10.52,3.52,2.38,16.42,497.92,502.08,17.32,20.42,144.58,109.04,30
"302",91,949.02,31.3,11.3,8.38,50.98,8.54467217606,163.14,126.52,13.6575366684,18.1363067556,9.68629904136,7.4128616061,463.2,20.86,7.82,6.04,34.72,485.82,10.44,3.48,2.34,16.26,497.92,502.08,17.22,20.02,145.92,106.5,30
"303",92,948.62,31.54,11.5,8.34,51.38,8.55065280004,166.38,129.08,13.9067475818,18.4977445614,9.71933533882,7.39206338384,462.66,21.12,8.1,6.04,35.26,485.96,10.42,3.4,2.3,16.12,497.92,502.08,17.86,19.04,148.52,110.04,30
"304",93,948.6,31.44,11.62,8.34,51.4,8.5608476644,167.68,132.88,14.1709317372,18.880559549,9.75783305546,7.37428363842,462.52,21.1,8.24,6.06,35.4,486.08,10.34,3.38,2.28,16,497.92,502.08,16.96,20.12,150.72,112.76,30
"305",94,948.08,31.66,11.86,8.4,51.92,8.57316108762,167.92,133.7,14.4252838562,19.2451959702,9.79955659424,7.35755881402,462.12,21.28,8.38,6.14,35.8,485.96,10.38,3.48,2.26,16.12,497.92,502.08,17.26,19.68,150.66,114.02,30
"306",95,947.98,31.6,12,8.42,52.02,8.57925605528,170.86,135.36,14.71066863,19.6537330242,9.83943552932,7.33036115374,461.8,21.42,8.48,6.22,36.12,486.18,10.18,3.52,2.2,15.9,497.92,502.08,17.26,19.28,153.6,116.08,30
"307",96,947.58,31.68,12.3,8.44,52.42,8.58902260564,173.1,137.58,15.0193417108,20.063492791,9.88160388212,7.30800056052,461.36,21.64,8.7,6.22,36.56,486.22,10.04,3.6,2.22,15.86,497.92,502.08,16.84,18.84,156.26,118.74,30
"308",97,947.12,31.88,12.54,8.46,52.88,8.60022993338,173.5,137.38,15.3525171886,20.5034111546,9.92401882154,7.2884417199,460.8,21.98,8.86,6.28,37.12,486.32,9.9,3.68,2.18,15.76,497.92,502.08,17.04,19.48,156.46,117.9,30
"309",98,946.64,32.16,12.68,8.52,53.36,8.60832245138,176.28,139.46,15.6840629132,20.950526393,9.959827187,7.2689938579,460.26,22.28,9.04,6.34,37.66,486.38,9.88,3.64,2.18,15.7,497.92,502.08,17.54,20.06,158.74,119.4,30
"310",99,946.14,32.34,12.9,8.62,53.86,8.6184764297,176.12,143.42,16.0723187546,21.4694758794,9.99675807006,7.25268319638,459.82,22.48,9.22,6.4,38.1,486.32,9.86,3.68,2.22,15.76,497.92,502.08,15.68,20.04,160.44,123.38,30
"311",100,945.84,32.32,13.2,8.64,54.16,8.62369663896,179.4,143.1,16.4958908384,22.0102986894,10.02617303504,7.23408846616,459.58,22.52,9.42,6.4,38.34,486.26,9.8,3.78,2.24,15.82,497.92,502.08,16.58,19.32,162.82,123.78,30
"312",101,945.5,32.38,13.34,8.78,54.5,8.63547152382,183.26,147.6,16.9075187708,22.5559524188,10.07015776478,7.21404149702,459.16,22.62,9.58,6.56,38.76,486.34,9.76,3.76,2.22,15.74,497.92,502.08,16.8,19.22,166.46,128.38,30
"313",102,945.06,32.34,13.66,8.94,54.94,8.64453600588,183.74,146.42,17.3531141896,23.1469241356,10.1088394,7.19372147666,458.66,22.7,9.84,6.72,39.26,486.4,9.64,3.82,2.22,15.68,497.92,502.08,16.68,17.88,167.06,128.54,30
